stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
290039,200541,214.SOKAK,direction: NİŞANTEPE,41.0479350005616,29.2457079999933,0
290040,200542,214.SOKAK,direction: KADIKÖY,41.0480810005616,29.2456629999933,0
292635,200551,OTAĞTEPE CADDESİ,direction: RÜZGARLIBAHÇE,41.0910340342587,29.0824929789431,0
292636,200552,OTAĞTEPE CADDESİ,direction: KAVACIK,41.0911070005684,29.082536999991,0
292637,200561,RİVA,direction: BEYKOZ 137,41.2241189991122,29.2179000000102,0
292638,200571,YOL AĞZI,direction: CUMHURİYET KÖYÜ,41.1823079583843,29.2678209939134,0
292639,200572,YOL AĞZI,direction: SULTANİYE 137,41.1823330005833,29.2679739999933,0
681184,200581,LİSE,direction: ÜSKÜDAR,41.0603999740789,29.0556610237366,0
681185,200591,ÜÇYOL,direction: ÜSKÜDAR 15L,41.0582139660914,29.0592569928218,0
681186,200601,BAYRAK SOKAK,direction: RASATHANE,41.0611100005637,29.0654829999907,0
681187,200602,BAYRAK SOKAK,direction: ÜSKÜDAR,41.0614640005636,29.0654889999907,0
292640,200611,ÇAMLIKTEPE,direction: ÇAVUŞBAŞI 15KÇ,41.0916630005686,29.1146919999915,0
292641,200612,ÇAMLIKTEPE,direction: ÜSKÜDAR 15KÇ,41.0916890121873,29.1148379779597,0
292642,200621,YENİ MAHALLE SPOR TESİSLERİ,direction: YENİ MAH. 15Y,41.0660120005644,29.0977229999913,0
292643,200622,YENİ MAHALLE SPOR TESİSLERİ,direction: ÜSKÜDAR 15Y,41.0658980099539,29.0978770070618,0
292644,200631,ANADOLU CADDESİ,direction: ÜSKÜDAR,41.0972910005694,29.0939109999911,0
292645,200641,TAŞOCAĞI,direction: YENİ MAH.15TY,41.1015880005702,29.087155999991,0
292646,200642,TAŞOCAĞI,direction: TOKATKÖY 15TY,41.1020409991147,29.0871690000113,0
292647,200651,KİREÇOCAĞI,direction: KAVACIK,41.1032510005704,29.084179999991,0
292648,200652,KİREÇOCAĞI,direction: TOKATKÖY 15TY,41.1034410005704,29.084235999991,0
292649,200661,FENER CADDESİ,direction: HALAYIKDERE,41.185545006843,29.1640580239719,0
292650,200662,FENER CADDESİ,direction: ÜSKÜDAR(15D İÇİN),41.1855270005837,29.163959999992,0
292651,200671,ÇAYIRLIK,direction: HALAYIKDERE,41.1905620005846,29.165762999992,0
292652,200672,ÇAYIRLIK,direction: ÜSKÜDAR (15D İÇİN),41.1905499696346,29.1656819751039,0
292653,200681,KAVAKLIK,direction: DUTDERE 15KÇ,41.0814339871191,29.1583299761263,0
292654,200682,KAVAKLIK,direction: ÜSKÜDAR,41.0815180141644,29.158255966811,0
580037,200691,AKASYA  ,direction: YENİDOĞAN,41.0074499991167,29.1852820000104,0
580038,200692,AKASYA ,direction: KADIKÖY,41.0076540005551,29.1849079999927,0
292655,200701,DÜZ KESTANE,direction: DUTDERE,41.0875740005679,29.1665539999922,0
292656,200702,DÜZ KESTANE,direction: ÜSKÜDAR,41.0876640265957,29.1664130454954,0
292657,200711,ÜMRANİYE CEZAEVİ,direction: HEKİMBAŞI,41.0549150005626,29.1179029999916,0
580039,200712,ÜMRANİYE CEZAEVİ,direction: ÜMRANİYE,41.0558040005628,29.1164819999916,0
580040,200721,ŞEHİT ÖĞRETMEN YASEMİN TEKİN İLKOKULU,direction: HEKİMBAŞI,41.0518420005622,29.1200449999917,0
580041,200722,ŞEHİT ÖĞRETMEN YASEMİN TEKİN İLKOKULU,direction: ÜMRANİYE,41.0520520005622,29.1197729999917,0
290041,200731,SENEM SOKAK,direction: ŞAHİNBEY,41.0242110005578,29.1835019999926,0
290042,200732,SENEM SOKAK,direction: ÜMRANİYE,41.0244520005578,29.1832439999926,0
290043,200741,HAMİDİYE,direction: ŞAHİNBEY,41.0212430005573,29.1883219999927,0
290044,200742,HAMİDİYE,direction: ÜMRANİYE,41.0214510005574,29.1883159999927,0
290045,200751,ULUBATLI HASAN CADDESİ,direction: GÜVEN SİTESİ,41.0216090005573,29.1914649999927,0
290046,200752,ULUBATLI HASAN CADDESİ,direction: KADIKÖY,41.0216790005573,29.1913639999927,0
659431,200761,ŞAHİNBEY ATATÜRK CADDESİ,direction: ŞAHİNBEY,41.0240340005577,29.1948329999928,0
290048,200762,ŞAHİNBEY ATATÜRK CADDESİ,direction: DUDULLU,41.0239320005577,29.1945829999927,0
290049,200771,ÖĞRETMENLER SİTESİ,direction: ŞAHİNBEY,41.0251430005579,29.1937729999927,0
290050,200772,ÖĞRETMENLER SİTESİ,direction: KADIKÖY,41.025461000558,29.1931559999927,0
290051,200781,GÜVEN SİTESİ,direction: ÜMRANİYE,41.0279940005584,29.1900929999927,0
290052,200782,GÜVEN SİTESİ,direction: Ş.ŞAHİNBEY,41.0279030005584,29.1905409999926,0
580042,200791,KUMRAL SOKAK,direction: KURAN KURSU 11D,41.0398240005602,29.1080629999915,0
580043,200792,KUMRAL SOKAK,direction: ÜMRANİYE 11D,41.0397770005602,29.1079819999915,0
580044,200801,ERSAN SOKAK,direction: KURAN KURSU 11D,41.0418440005607,29.1084919555972,0
580045,200802,ERSAN SOKAK,direction: ÜMRANİYE 11D,41.0418710005606,29.1083889999915,0
580046,200811,SELÇUKLU SOKAK,direction: KURAN KURSU,41.0457169814824,29.1055580226238,0
580047,200812,SELÇUKLU SOKAK,direction: ÜMRANİYE 11D,41.0457080005611,29.1054269999914,0
580048,200821,AKDAĞ CADDESİ,direction: KADIKÖY,41.0047160005546,29.135801999992,0
580049,200822,AKDAĞ CADDESİ,direction: DUDULLU,41.0050709991167,29.1363950000109,0
292658,200831,FATİH MAHALLESİ MUHTARLIĞI,direction: ÜMRANİYE,41.0911310005685,29.1258569999917,0
